Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
 8905.,Поляны,Б,32 Ю-Зап (У),341624,
 8906.,Помельница,О,17 Моск (Р),173816,
 8907.,Померанье,Б,01 Окт (Р),042338,
 8908.,Помогаевка,О,83 З-Сиб (Р),831741,
 8909.,Помонято,П,35 Льв (У),379157,
 8910.,Помурино,О,83 З-Сиб (Р),832210,
 8911.,Понизов,О,13 Бел,157419,
 8912.,Пониковица,О,35 Льв (У),350912,
 8913.,Пономарево,О,88 Крас (Р),892550,
 8914.,Пономарёвка,О,92 В-Сиб (Р),934289,
 8915.,Понтонная,О,01 Окт (Р),030716,
 8916.,Понятичи,О,13 Бел,133128,
 8917.,Поперечка,О,83 З-Сиб (Р),873691,
 8918.,Поплавенец,О,01 Окт (Р),050029,
 8919.,Поплавы,О,35 Льв (У),361030,
 8920.,Поплевино,О,17 Моск (Р),223733,
 8921.,Поповка,Б,01 Окт (Р),031348,
 8922.,Поповка,О,58 Ю-Вост (Р),585022,
 8923.,Попово,О,45 Придн (У),461915,
 8924.,Попудренко,О,32 Ю-Зап (У),323611,
 8925.,Поречаны,Б,13 Бел,137538,
 8926.,Поречное,О,35 Льв (У),376017,
 8927.,Поречье,О,76 Сверд (Р),788215,
 8928.,Порог,О,88 Крас (Р),886390,
 8929.,Порос,О,83 З-Сиб (Р),854116,
 8930.,Порплище,Б,13 Бел,163918,
 8931.,Порпуровский,О,32 Ю-Зап (У),335712,
 8932.,Порт Волжский,О,61 Прив (Р),610417,
 8933.,Портновская,О,17 Моск (Р),182529,
 8934.,Поршинец,О,01 Окт (Р),062011,
 8935.,Посадочный,О,48 Дон (У),494114,
 8936.,Посадочный,О,89 89-я дорога,958419,
 8937.,Посадская,О,17 Моск (Р),215474,
 8938.,Поселки,О,63 Кбш (Р),634727,
 8939.,Поселковая,О,17 Моск (Р),171153,
 8940.,Поселок Бутенко,О,51 С-Кав (Р),541128,
 8941.,Поселок Дмитрия Донского,О,80 Ю-Ур (Р),800210,
 8942.,Поселок Зеленый,О,63 Кбш (Р),641237,
 8943.,Поселок Киевский,О,17 Моск (Р),180025,
 8944.,Поселок Коктума,О,68 Кзх,700257,
 8945.,Поселок Куйбышево,О,88 Крас (Р),880835,
 8946.,Поселок Лесной,О,32 Ю-Зап (У),324737,
 8947.,Поселок ПДМС,О,80 Ю-Ур (Р),828412,
 8948.,Поселок Песковатский,О,58 Ю-Вост (Р),600421,
 8949.,Поселок Холодный,Х,92 В-Сиб (Р),903350,
 8950.,Поселок-Мухавец,О,13 Бел,130810,
 8951.,Поселочная,О,43 Южн (У),433213,
 8952.,Поселье,О,94 Заб (Р),943173,
 8953.,Посёлок Пятый км,О,76 Сверд (Р),760652,
 8954.,Пословка,О,63 Кбш (Р),633512,
 8955.,Посоп,О,63 Кбш (Р),641519,
 8956.,Поспелова,О,83 З-Сиб (Р),866113,
 8957.,Пост 1,О,13 Бел,138526,
 8958.,Пост 4 км,Х,43 Южн (У),442838,
 8959.,Пост 530 км,О,17 Моск (Р),208216,
 8960.,Пост 89 км,О,57 Грз,561526,
 8961.,Пост-Брянск-Южный,О,17 Моск (Р),200064,
 8962.,Пост-Дичня,О,17 Моск (Р),207938,
 8963.,Пост-Завод,О,80 Ю-Ур (Р),807929,
 8964.,Пост-Ковалево,О,01 Окт (Р),036746,
 8965.,Пост-Передача,О,61 Прив (Р),618245,
 8966.,Пост-Северный-,О,43 Южн (У),440016,
,Сортировочный,,,,
 8967.,Пост-Южный-Сортировочный,О,43 Южн (У),440041,
 8968.,Постниково,О,83 З-Сиб (Р),874656,
 8969.,Постой,О,24 Горьк (Р),266052,
 8970.,Постойка,О,88 Крас (Р),890339,
 8971.,Посухив,О,35 Льв (У),362211,
 8972.,Потайка,О,94 Заб (Р),951138,
 8973.,Потаповка,О,13 Бел,155165,
 8974.,Потьма,Б,58 Ю-Вост (Р),606017,
 8975.,Почвино,О,01 Окт (Р),062810,
 8976.,Починки,О,17 Моск (Р),221329,
 8977.,Починок,О,28 Сев (Р),304733,
 8978.,Почитанка,О,83 З-Сиб (Р),876219,
 8979.,Почтовая,О,43 Южн (У),441632,
 8980.,Правая,О,88 Крас (Р),892461,
 8981.,Правая Белая,О,63 Кбш (Р),650024,
 8982.,Правая Обь,О,83 З-Сиб (Р),850613,
 8983.,Правая Уфимка,О,63 Кбш (Р),654735,
 8984.,Правда,О,17 Моск (Р),235923,
 8985.,Правдинское,О,83 З-Сиб (Р),841154,
 8986.,Правини,О,09 Лат,097716,
 8987.,Правобережный,О,51 С-Кав (Р),538521,
 8988.,Правобережный,О,61 Прив (Р),625427,
 8989.,Пралески,О,13 Бел,143420,
 8990.,Предбужье (узк),О,40 Од (У),409723,
 8991.,Предгорочный Парк,О,43 Южн (У),425092,
 8992.,Предпортовая,О,01 Окт (Р),035014,
 8993.,Предсудженка,О,83 З-Сиб (Р),875911,
 8994.,Предузловая,О,43 Южн (У),444411,
 8995.,Прелестянский,О,48 Дон (У),492330,
 8996.,Прелестянский,О,89 89-я дорога,979030,
 8997.,Прень,О,17 Моск (Р),186727,
 8998.,Преображенская,О,88 Крас (Р),893040,
 8999.,Преображенский,О,58 Ю-Вост (Р),607128,
 9000.,Прибой,О,92 В-Сиб (Р),934359,
 9001.,Приборово,О,13 Бел,132360,
 9002.,Приборостроитель,О,83 З-Сиб (Р),854140,
 9003.,Прибужье,О,13 Бел,132248,
 9004.,Прибылово,О,88 Крас (Р),894024,
 9005.,Прибытки,О,32 Ю-Зап (У),349541,
 9006.,Прибытково,О,01 Окт (Р),072526,
 9007.,Привал,О,80 Ю-Ур (Р),805016,
 9008.,Привалово,О,17 Моск (Р),192732,
 9009.,Приветнинский Карьер,О,01 Окт (Р),039759,
 9010.,Приветное,О,40 Од (У),424742,
 9011.,Привокзальная,О,76 Сверд (Р),781470,
 9012.,Привокзальная,О,83 З-Сиб (Р),830713,
 9013.,Приволье,О,17 Моск (Р),214128,
 9014.,Приворот,О,01 Окт (Р),051457,
 9015.,Пригожее,О,48 Дон (У),492716,
 9016.,Пригородная,О,43 Южн (У),448817,
 9017.,Пригородная,О,58 Ю-Вост (Р),585060,
 9018.,Пригородная,О,92 В-Сиб (Р),922012,
 9019.,Пригородный,О,13 Бел,135299,
 9020.,Пригородный,О,88 Крас (Р),883814,
 9021.,Пригородный Простор,О,83 З-Сиб (Р),850191,
 9022.,Приданиха,Б,01 Окт (Р),042821,
 9023.,Приднепровская,О,17 Моск (Р),170451,
 9024.,Приемный,О,48 Дон (У),502335,
 9025.,Приемный,О,84 84-я дорога,847521,
 9026.,Приемоотправочный Парк,О,92 В-Сиб (Р),920017,
 9027.,Прилежный,О,48 Дон (У),495023,
 9028.,Прилежный,О,89 89-я дорога,959021,
 9029.,Прилесье,О,17 Моск (Р),224515,
 9030.,Прилипче,О,35 Льв (У),365313,
 9031.,Прилужный I,О,48 Дон (У),492032,
 9032.,Прилужный I,О,89 89-я дорога,957539,
 9033.,Прилужный II,О,48 Дон (У),492044,
 9034.,Прилужный II,О,89 89-я дорога,957543,
 9035.,Прилужный III,О,48 Дон (У),492059,
 9036.,Прилужный III,О,89 89-я дорога,957558,
 9037.,Прилуки,О,13 Бел,130350,
 9038.,Прилутчина,О,13 Бел,131264,
 9039.,Прилуцкая,О,35 Льв (У),359026,
 9040.,Прилютовка,О,58 Ю-Вост (Р),434123,
 9041.,Прилютово,О,43 Южн (У),433027,
 9042.,Примокшанский,О,63 Кбш (Р),640930,
 9043.,Приморка,О,51 С-Кав (Р),511461,
 9044.,Приморское-Новое,О,10 Клг (Р),102628,
 9045.,Примыкание,О,51 С-Кав (Р),541325,
 9046.,Принцевка,О,58 Ю-Вост (Р),439470,
 9047.,Приовражное,О,48 Дон (У),484870,
 9048.,Приовражное,О,89 89-я дорога,899865,
 9049.,Приозерное,О,35 Льв (У),361519,
 9050.,Приозерный,О,13 Бел,137148,
 9051.,Приокская,О,17 Моск (Р),210926,
 9052.,Приокский,О,24 Горьк (Р),240033,
 9053.,Приостерный,О,32 Ю-Зап (У),324012,
 9054.,Припутни,О,32 Ю-Зап (У),340123,
 9055.,Приречное,О,61 Прив (Р),608830,
 9056.,Присеймовье,О,32 Ю-Зап (У),327627,
 9057.,Присельская,О,17 Моск (Р),172122,
 9058.,Пристанционный,О,80 Ю-Ур (Р),829282,
 9059.,Пристань,О,88 Крас (Р),880110,
 9060.,Пристенок,О,48 Дон (У),505136,
 9061.,Приятный,О,48 Дон (У),490212,
 9062.,Приятный,О,89 89-я дорога,929219,
 9063.,Проба,О,01 Окт (Р),036133,
 9064.,Пробуждение,О,17 Моск (Р),186197,
 9065.,Производственная База,О,92 В-Сиб (Р),931469,
 9066.,Прокатчик,О,48 Дон (У),491446,
 9067.,Прокатчик,О,89 89-я дорога,957149,
 9068.,Прокуророво,О,58 Ю-Вост (Р),595611,
 9069.,Пролесный,О,43 Южн (У),430531,
 9070.,Пролетарская,О,01 Окт (Р),061517,
 9071.,Пролетарская Победа,Б,13 Бел,141317,
 9072.,Пролетарский,О,83 З-Сиб (Р),831735,
 9073.,Проминь,О,35 Льв (У),357622,
 9074.,Промплощадка,О,92 В-Сиб (Р),933746,
 9075.,Промучасток,О,76 Сверд (Р),760031,
 9076.,Промывка,О,58 Ю-Вост (Р),607734,
 9077.,Промысловый,О,94 Заб (Р),952226,
 9078.,Пронинская,О,17 Моск (Р),171613,
 9079.,Пропуск,О,80 Ю-Ур (Р),802022,
 9080.,Просвет,О,28 Сев (Р),312015,
 9081.,Просинское,О,24 Горьк (Р),243563,
 9082.,Проспект Науки,О,32 Ю-Зап (У),320810,
 9083.,Проспект Славы,О,01 Окт (Р),033038,
 9084.,Проспектная,О,45 Придн (У),450018,
 9085.,Простор,О,17 Моск (Р),210714,
 9086.,Просторное,О,43 Южн (У),446811,
 9087.,Протасов Яр,О,32 Ю-Зап (У),320219,
 9088.,Протопоповка,О,40 Од (У),410256,
 9089.,Прохладная,О,88 Крас (Р),894113,
 9090.,Прочноокопский,О,51 С-Кав (Р),529817,
 9091.,Прудки,О,17 Моск (Р),234263,
 9092.,Прудовка,О,13 Бел,150655,
 9093.,Прудской,О,83 З-Сиб (Р),840190,
 9094.,Пруды,О,24 Горьк (Р),266033,
 9095.,Прудянка,О,43 Южн (У),432255,
 9096.,Прункул,О,39 Млд,391229,
 9097.,Прутовка,О,35 Льв (У),389248,
 9098.,Прыжково,О,01 Окт (Р),048423,
 9099.,Прядкин,О,43 Южн (У),442914,
 9100.,Псыж,О,51 С-Кав (Р),530922,
 9101.,Псырцха,О,57 Грз,574047,
 9102.,Птицефабрика,О,61 Прив (Р),621835,
 9103.,Птицефабрика,О,94 Заб (Р),942726,
 9104.,Птичий Базар,О,92 В-Сиб (Р),933411,
 9105.,Птичь,О,13 Бел,144669,
 9106.,Пугачево,О,88 Крас (Р),890818,
 9107.,Пугачевск II,О,61 Прив (Р),627723,
 9108.,Пудемский,О,24 Горьк (Р),274345,
 9109.,Пузаково,О,01 Окт (Р),068817,
 9110.,Пузе,О,09 Лат,098117,
 9111.,Пузята,О,76 Сверд (Р),762342,
 9112.,Пукинниеми,О,01 Окт (Р),022349,
 9113.,Пуков,О,35 Льв (У),361613,
 9114.,Пулли,Х,08 Эст,089033,
 9115.,Пульниково,Б,76 Сверд (Р),792627,
 9116.,Пуляево,О,92 В-Сиб (Р),923250,
 9117.,Пумпури,О,09 Лат,097218,
 9118.,Пундури,О,01 Окт (Р),077913,
 9119.,Пуравица,О,01 Окт (Р),070713,
 9120.,Пуре,О,09 Лат,097523,
 9121.,Пурини (узк.),О,09 Лат,111523,
 9122.,Пурмсати,О,09 Лат,099116,
 9123.,Пурово,О,01 Окт (Р),040046,
 9124.,Пустовиты,О,32 Ю-Зап (У),344410,
 9125.,Пустомыты,О,35 Льв (У),377927,
 9126.,Пут. пост 59 км,О,17 Моск (Р),220025,
 9127.,Путаны,О,09 Лат,110616,
 9128.,Путевая Машинная Станция,О,83 З-Сиб (Р),830215,
 9129.,Путевая Станция,О,80 Ю-Ур (Р),826949,
 9130.,Путейская,О,40 Од (У),417819,
 9131.,Путейская,О,58 Ю-Вост (Р),581337,
 9132.,Путейская,О,63 Кбш (Р),635749,
 9133.,Путейская,О,76 Сверд (Р),764719,
 9134.,Путейская,О,88 Крас (Р),892669,
 9135.,Путейская,О,92 В-Сиб (Р),931929,
 9136.,Путейский Городок,О,88 Крас (Р),887834,
 9137.,Путепровод,О,01 Окт (Р),045232,
 9138.,Путепровод,О,51 С-Кав (Р),531639,
 9139.,Путепровод,О,88 Крас (Р),890911,
 9140.,Путепроводная,О,01 Окт (Р),061127,
 9141.,Путиловичи,О,32 Ю-Зап (У),349240,
 9142.,Путилово,О,17 Моск (Р),236146,
 9143.,Путиловская,О,58 Ю-Вост (Р),438228,
 9144.,Путинешты,О,39 Млд,395412,
 9145.,Путино,О,76 Сверд (Р),762215,
 9146.,Путятинцы,О,35 Льв (У),361628,
 9147.,Пушкарево,Б,10 Клг (Р),100834,
 9148.,Пушкино,О,24 Горьк (Р),264610,
 9149.,Пушмези,О,76 Сверд (Р),761814,
 9150.,Пуща,О,13 Бел,160924,
 9151.,ПУДЕМ,О,24 Горьк (Р),274330,
 9152.,ПУШМА,О,24 Горьк (Р),272617,
 9153.,Пчелиный,О,76 Сверд (Р),782312,
 9154.,Пчелкино,О,48 Дон (У),491431,
 9155.,Пчелкино,О,89 89-я дорога,957134,
 9156.,Пчеловодная,О,51 С-Кав (Р),513656,
 9157.,Пчеловодное,О,17 Моск (Р),226835,
 9158.,Пыжевка,О,17 Моск (Р),189730,
 9159.,Пыллкюла,О,08 Эст,081027,
 9160.,Пыловка,О,92 В-Сиб (Р),934147,
 9161.,Пыльное,О,80 Ю-Ур (Р),817314,
 9162.,Пэнэшешть,О,39 Млд,391515,
 9163.,Пядики,О,35 Льв (У),388669,
 9164.,Пяльксаари,О,01 Окт (Р),024128,
 9165.,Пялькьярви,О,01 Окт (Р),024113,
 9166.,Пярну-Рейзияам,Х,08 Эст,089118,
 9167.,Пятигорье,О,13 Бел,144531,
 9168.,Пятилетка,О,63 Кбш (Р),657644,
 9169.,Пятиполье,О,43 Южн (У),433629,
 9170.,Пятково,О,76 Сверд (Р),763824,
 9171.,Пятницкое,О,63 Кбш (Р),632929,
 9172.,Пячковичи,О,13 Бел,158318,
 9173.,Раавитсе,О,08 Эст,086119,
 9174.,Рабочая,О,32 Ю-Зап (У),336823,
 9175.,Рабочая,О,63 Кбш (Р),638111,
 9176.,Рабочего батальона,О,01 Окт (Р),036430,
 9177.,Рабочий Городок,О,51 С-Кав (Р),510149,
 9178.,Рабочий Поселок,О,17 Моск (Р),181719,
