Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
 4729.,Крыжовка (пп),О,13 Бел,"140009 Минск-Сортировочный - 26км, 162900 Молодечно - 58км",143628
 4730.,Крыжополь,Б 3,40 Од (У),"408307 Рудница - 16км, 408504 Вапнярка - 22км",408400
 4731.,Крыловская,"П 1,3,4",51 С-Кав (Р),"510007 Батайск - 113км, 514807 Сосыка-Ростовская - 18км",514703
 4732.,Крым,П 3,45 Придн (У),471103 Керчь - 19км,470308
 4733.,Крым,П 3,85 Крым (Р),867309 Керчь - 19км,867008
 4734.,Крым (эксп.),,45 Придн (У),,470204
 4735.,Крым-Паром,,85 Крым (Р),ТП,867101
 4736.,Крымская,"П 1,2,3,4,5",51 С-Кав (Р),ТП,521603
 4737.,Крынки,Б,13 Бел,"160002 Витебск - 25км, 165805 Заольша (эксп.) - 35км",165735
 4738.,Крюков-на-Днепре,"Б 3,8н",43 Южн (У),425001 Кременчуг - 4км,425302
 4739.,Крюково,Б,01 Окт (Р),"060001 Ховрино - 26км, 062100 Лихославль - 170км, 238207 Поварово II - 18км",060433
 4740.,Кряж,"1,3",63 Кбш (Р),"638605 Звезда - 44км, 657907 Самара - 7км",639608
 4741.,Кряжим (рзд),О,61 Прив (Р),"624000 Сенная - 13км, 635607 Сызрань I - 158км",624212
 4742.,Крятинга,"Б 1,3",12 Лит,ТП,107809
 4743.,Крятингале,Б,12 Лит,"107809 Крятинга - 7км, 107903 Пагегяй (эксп.) - 107км, 125507 Радвилишкис - 169км",107833
 4744.,Ксани,3,57 Грз,"560101 Тбилиси-Узловая - 39км, 577204 Хашури - 87км",560608
 4745.,Ксани (эксп.),П 3,57 Грз,,560631
 4746.,Ксениево,"П 3,8н,10н",40 Од (У),"403206 Белгород-Днестровский - 65км, 405101 Одесса-Застава I - 25км",406602
 4747.,Ксениево (эксп.),,40 Од (У),,424507
 4748.,Ксеньевская,"П 1,3",94 Заб (Р),"943108 Карымская - 506км, 951602 Бамовская - 475км",950606
 4749.,Кстово,"О 1,3,8н,10н,",24 Горьк (Р),"244208 Арзамас II - 118км, 264926 Окская - 25км",269506
,,"11н,12н",,,
 4750.,Ксты,О 3,13 Бел,"161236 Полоцк парк Громы - 7км, 164003 Крулевщизна - 84км",165307
 4751.,Куанда,П 3,92 В-Сиб (Р),"917103 Новый Ургал - 1740км, 927105 Лена - 839км",906503
 4752.,Куандинский (рзд),Х,92 В-Сиб (Р),"917103 Новый Ургал - 1727км, 927105 Лена - 852км",904264
 4753.,Куаныш (рзд),Х,73 Узбк,"736808 Каракалпакстан (эксп.) - 175км, 737800 Найманкуль (эксп.) - 256км",737143
 4754.,Кубадаг,3,75 Трк,,758402
 4755.,Кубадаг (эксп.),,75 Трк,,759104
 4756.,Кубанская,"П 1,3,4",51 С-Кав (Р),"520009 Кавказская - 48км, 530208 Армавир-Ростовский - 18км",529802
 4757.,Кубань (рзд),О,51 С-Кав (Р),"521603 Крымская - 82км, 524404 Краснодар I - 4км",524156
 4758.,Куберле,"П 1,3",51 С-Кав (Р),ТП,519105
 4759.,Кубинка I,"Б 1,3,4",17 Моск (Р),ТП,182603
 4760.,Кубинка II,"О 1,3",17 Моск (Р),"182603 Кубинка I - 4км, 197011 Манихино II - 41км",182707
 4761.,Кублич,"Б 3,11н,12н",40 Од (У),"409206 Зятковцы - 16км, 421104 Христиновка - 32км",420205
 4762.,Кубня (рзд),О,24 Горьк (Р),"249004 Свияжск - 37км, 644803 Ульяновск-Центральный - 165км",249112
 4763.,Кува,"П 1,3,8",73 Узбк,"740004 Коканд I - 104км, 743604 Андижан I - 32км",743303
 4764.,Кувалжиха (рзд),О,80 Ю-Ур (Р),"780603 Шарташ - 152км, 801405 Электростанция - 90км",802338
 4765.,Кувандык,"П 1,3,4",80 Ю-Ур (Р),"812503 Сакмарская - 163км, 814301 Никель - 127км",813402
 4766.,Кувасай,"1,3,4,8",73 Узбк,"740004 Коканд I - 105км, 743002 Кувасай (эксп.) - 8км, 743604 Андижан I - 93км",742902
 4767.,Кувасай (эксп.),,73 Узбк,ТП,743002
 4768.,Кувшиново,"П 1,2,3",01 Окт (Р),"064106 Торжок - 58км, 068107 Соблаго - 107км",068802
 4769.,Кувыкта,Б 3,96 Д-Вост (Р),"910000 Тында - 40км, 927105 Лена - 1623км",905002
 4770.,Куганак,"О 1,3",63 Кбш (Р),"652000 Карламан - 76км, 812503 Сакмарская - 243км",652509
 4771.,Кугей (рзд),О,51 С-Кав (Р),"510007 Батайск - 52км, 515706 Староминская-Ейская - 44км",515354
 4772.,Кугуты,Б 3,51 С-Кав (Р),"520009 Кавказская - 201км, 537601 Прохладная - 324км",527309
 4773.,Кудашевка,Б,45 Придн (У),"456404 Верховцево - 31км, 467108 Кривой Рог-Сортировочный - 57км",458503
 4774.,Кудринская,"Б 1,3",17 Моск (Р),"184204 Тихонова Пустынь - 67км, 185005 Сухиничи - 20км",184806
 4775.,Кудрявка,Б,48 Дон (У),496401 Ступки - 5км,496308
 4776.,Кудрявка,Б,89 89-я дорога,959303 Ступки - 13км,959229
 4777.,Кудукли,,73 Узбк,"734709 Сурханобод (эксп.) - 231км, 736206 Кудукли (эксп.) - 0км",736121
 4778.,Кудукли (эксп.),,73 Узбк,ТП,736206
 4779.,Кудули (рзд),Х,96 Д-Вост (Р),"910000 Тында - 124км, 917103 Новый Ургал - 827км",911925
 4780.,Кудык,О,68 Кзх,"660007 Кандыагаш - 80км, 669904 Шалкар - 193км",669393
 4781.,Кудыксай (рзд),О 3,68 Кзх,"668600 Никельтау - 118км, 683102 Тобол - 400км",665903
 4782.,Кудьма,"Б 1,3",24 Горьк (Р),"244208 Арзамас II - 98км, 264926 Окская - 5км",269402
 4783.,Куеда,Б 3,24 Горьк (Р),"257000 Кама - 100км, 782505 Дружинино - 302км",258003
 4784.,Куендат,О 3,83 З-Сиб (Р),873308 Тайга - 197км,875201
 4785.,Куженкино,"П 1,3",01 Окт (Р),"050009 Бологое-Московское - 23км, 068107 Соблаго - 131км",069608
 4786.,Кужяй,Б 1,12 Лит,ТП,127004
 4787.,Куза-Водэ (рзд),О,39 Млд,399606 Етулия (эксп.) - 11км,398321
 4788.,Кузема,Б 3,01 Окт (Р),"013000 Беломорск - 109км, 014906 Кандалакша - 274км",013509
 4789.,Куземовка,"П 1,3",43 Южн (У),"430002 Купянск-Сортировочный - 36км, 497813 Венгеровка - 117км",431604
 4790.,Кузино,Б 3,76 Сверд (Р),ТП,782702
 4791.,Кузмичевка,Б,17 Моск (Р),"216000 Орел - 11км, 217709 Верховье - 81км",216424
 4792.,Кузнецк,"П 1,2,3,4,8н,",63 Кбш (Р),"630105 Пенза I - 121км, 635448 Новообразцовое - 123км",634801
,,"10н,11н,12н",,,
 4793.,Кузнецово,"О 3,8н,10н",96 Д-Вост (Р),984502 Находка - 16км,984409
 4794.,Кузнецовский,О,96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 222км, 967600 Ванино - 231км",966453
 4795.,Кузнечевский,3,28 Сев (Р),290507 Архангельск-Город - 5км,289209
 4796.,Кузнечевский (эксп.),,28 Сев (Р),,289105
 4797.,Кузнечное,"Б 1,3",01 Окт (Р),"022404 Хийтола - 18км, 038101 Ручьи - 148км",023106
 4798.,Кузоватово,"Б 1,3",63 Кбш (Р),"635448 Новообразцовое - 77км, 642102 Инза - 110км",642808
 4799.,Кузьма,О,76 Сверд (Р),"275901 Пибаньшур - 54км, 760008 Пермь-Сортировочная - 162км",762022
 4800.,Куйбас,Б 3,80 Ю-Ур (Р),"652000 Карламан - 321км, 816203 Карталы I - 131км",817507
 4801.,Куйбышево-Кавказская,О,56 Ю-Кав,568703 Иджеван - 27км,568614
 4802.,Куйкен (рзд),О 3,68 Кзх,"662801 Бейнеу - 15км, 663306 Мангистау - 389км",664008
 4803.,Куйтун,"П 1,2,3,4,8н,",92 В-Сиб (Р),"920002 Тайшет - 359км, 930108 Иркутск-Пассажирский - 311км",922703
,,"10н,11н,12н",,,
 4804.,Кукас,О,09 Лат,"113105 Резекне II - 82км, 114201 Крустпилс - 13км",114127
 4805.,Куклино,Б,01 Окт (Р),"056701 Дно - 30км, 058302 Батецкая - 68км",057920
 4806.,Кукмор,"Б 1,3",24 Горьк (Р),"251004 Дербышки - 128км, 254905 Агрыз - 159км",253705
 4807.,Куколь,О,01 Окт (Р),"046803 Подборовье - 162км, 048001 Волховстрой II - 9км",047825
 4808.,Кукуштан,"Б 1,3",76 Сверд (Р),"761104 Пермь II - 54км, 782702 Кузино - 239км",763100
 4809.,Кукшик,Б 3,80 Ю-Ур (Р),"654504 Уфа - 234км, 806606 Бердяуш - 35км",807702
 4810.,Кулайгыр,Б 3,68 Кзх,"673905 Караганды - 56км, 675905 Жарык - 65км",675708
 4811.,Кулакшин,О,68 Кзх,"704703 Берлик I - 90км, 700007 Алматы 1 - 213км",703128
 4812.,Кулан-Тобе,О,68 Кзх,"700505 Жетыген - 47км, 708009 Актогай - 467км, 708507 Достык (эксп.) - 774км",700721
 4813.,Куланга,"Б 1,3",24 Горьк (Р),"249004 Свияжск - 47км, 644803 Ульяновск-Центральный - 155км",249201
 4814.,Кулатка (рзд),"О 1,3",61 Прив (Р),"624000 Сенная - 78км, 635607 Сызрань I - 93км",624405
 4815.,Кулевча,"О 1,3",40 Од (У),"403206 Белгород-Днестровский - 40км, 403905 Арцыз - 50км",403708
 4816.,Кулендекен (пп),О,94 Заб (Р),"943108 Карымская - 434км, 951602 Бамовская - 547км",950417
 4817.,Кулешовский (рзд),О,51 С-Кав (Р),"510007 Батайск - 19км, 510806 Азов - 11км",510830
 4818.,Куликов,"1,3",35 Льв (У),"370400 Клепаров - 22км, 372500 Рава-Русская - 43км",372209
 4819.,Куликово Поле,"П 1,2,3",58 Ю-Вост (Р),"224806 Волово - 50км, 594303 Лев Толстой - 67км",593902
 4820.,Кулиндорово,"О 3,8н,10н,11н,",40 Од (У),"400803 Одесса-Пересыпь - 14км, 401100 Черноморская - 22км",400907
,,12н,,,
 4821.,Кулиндорово (эксп.),,40 Од (У),,401204
 4822.,Кулой,Б 3,28 Сев (Р),"280204 Котлас-Узловой - 236км, 293007 Коноша I - 127км",297900
 4823.,Култук,"Б 1,3",92 В-Сиб (Р),"930108 Иркутск-Пассажирский - 136км, 935506 Улан-Удэ - 340км",933407
 4824.,Култук (перев.),,92 В-Сиб (Р),"930108 Иркутск-Пассажирский - 136км, 935506 Улан-Удэ - 340км",933500
 4825.,Кулунда,"П 1,3,9",83 З-Сиб (Р),"835558 Осолодино (обп) - 154км, 840109 Барнаул - 343км, 844805 Кулунда (эксп.) - 21км",844701
 4826.,Кулунда (эксп.),,83 З-Сиб (Р),ТП,844805
 4827.,Кулупенай,О,12 Лит,"107809 Крятинга - 17км, 127004 Кужяй - 110км",107706
 4828.,Куль,3,68 Кзх,"694605 Екибастуз I - 388км, 696102 Павлодар - 304км, 709302 Жана-Семей - 73км, 709406",709800
,,,,               Семей - 78км,
 4829.,Куль,Х,73 Узбк,"722400 Ташкент - 141км, 725803 Хаваст - 278км, 741505 Учкурган (эксп.) - 205км",722646
 4830.,Кульбакино,О 3,40 Од (У),"415103 Николаев - 3км, 417409 Прибугская - 9км, 417804 Херсон - 52км",417306
 4831.,Кульгаи (рзд),О,13 Бел,"161236 Полоцк парк Громы - 42км, 164003 Крулевщизна - 49км",165133
 4832.,Кульдур,П 1,96 Д-Вост (Р),"917103 Новый Ургал - 317км, 961604 Известковая - 30км",918106
 4833.,Кульма,П,39 Млд,399606 Етулия (эксп.) - 105км,398853
 4834.,Кульсары,"П 1,2,3,5,6,8н,",68 Кзх,"661103 Макат - 94км, 662801 Бейнеу - 206км",662500
,,10н,,,
 4835.,Кульшарипово,"О 3,11н,12н",63 Кбш (Р),"254905 Агрыз - 231км, 647523 Акбаш - 70км",647801
 4836.,Куляб,"П 1,8,10",74 Тадж,746405 Хатлон - 132км,748909
 4837.,Куляб (эксп.),,74 Тадж,,748805
 4838.,Кума,"Б 1,3",51 С-Кав (Р),"520009 Кавказская - 309км, 537601 Прохладная - 94км",536609
 4839.,Кумагорск (обп),Б,51 С-Кав (Р),"520102 Тихорецкая - 305км, 537601 Прохладная - 108км",531624
 4840.,Кумали (рзд),Х,76 Сверд (Р),790408 Войновка - 858км,798217
 4841.,Кумацкая,О,80 Ю-Ур (Р),"814301 Никель - 29км, 816203 Карталы I - 250км",815234
 4842.,Кумертау,"Б 1,3",63 Кбш (Р),"652000 Карламан - 203км, 812503 Сакмарская - 116км",653408
 4843.,Куминская,"Б 1,3,4",76 Сверд (Р),785908 Егоршино - 338км,788709
 4844.,Кумкургон,"О 1,3,10",73 Узбк,ТП,735608
 4845.,Кумлах,О,55 Азерб,"550004 Джульфа - 150км, 552620 Османлы-Новые - 199км",551510
 4846.,Кумовка (обп),О,61 Прив (Р),"588302 Морозовская - 159км, 611000 Им. Максима Горького - 57км",615317
 4847.,Кумтобе (рзд),О,68 Кзх,"700505 Жетыген - 340км, 708009 Актогай - 174км, 708507 Достык (эксп.) - 481км",702426
 4848.,Кумшагал,О 3,68 Кзх,"698606 Шымкент - 195км, 706304 Тараз - 8км",706200
